candidate_idx,package,setting,restart_idx,input_file,n_records,selection_score,numpyro_elbo,selected_best,mu_a_mean,mu_a_sd,beta_mean,beta_sd,sigma_a_log___mean,sigma_a_log___sd,sd_y_log___mean,sd_y_log___sd
0,numpyro,adam_100_mc,0,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.57373046875,-1062.57373046875,False,1.4923129081726074,0.03484554588794708,-0.6606663465499878,0.05881894752383232,-1.1303011178970337,0.07670436054468155,-0.3207090198993683,0.023423554375767708
1,numpyro,adam_100_mc,1,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.5738525390625,-1062.5738525390625,False,1.493584156036377,0.03495587408542633,-0.663655698299408,0.05869854986667633,-1.1294935941696167,0.07675891369581223,-0.3209276795387268,0.023470843210816383
2,numpyro,adam_100_mc,2,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.56982421875,-1062.56982421875,False,1.49222731590271,0.034845560789108276,-0.6643513441085815,0.05850478261709213,-1.1275615692138672,0.07685905694961548,-0.320499449968338,0.023262254893779755
3,numpyro,adam_100_mc,3,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.570556640625,-1062.570556640625,False,1.4920884370803833,0.035071708261966705,-0.6630659103393555,0.05873332917690277,-1.1279656887054443,0.07656518369913101,-0.32044684886932373,0.023089934140443802
4,numpyro,adam_100_mc,4,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.5693359375,-1062.5693359375,True,1.4926880598068237,0.034782543778419495,-0.6636396050453186,0.05865908041596413,-1.1293624639511108,0.07718558609485626,-0.31959256529808044,0.023466486483812332
5,numpyro,adam_100_mc,5,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.5723876953125,-1062.5723876953125,False,1.4927767515182495,0.035016342997550964,-0.6617279648780823,0.05878142639994621,-1.128125548362732,0.07697024196386337,-0.32029280066490173,0.023236842826008797
6,numpyro,adam_100_mc,6,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.5721435546875,-1062.5721435546875,False,1.493468165397644,0.03487623855471611,-0.665000319480896,0.0587862953543663,-1.1266396045684814,0.07741260528564453,-0.32210826873779297,0.023380735889077187
7,numpyro,adam_100_mc,7,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.576171875,-1062.576171875,False,1.4956210851669312,0.0350356288254261,-0.6633431315422058,0.05875625088810921,-1.1288286447525024,0.07717090100049973,-0.3199065029621124,0.023306159302592278
8,numpyro,adam_100_mc,8,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.572021484375,-1062.572021484375,False,1.4941846132278442,0.03510446473956108,-0.6625506281852722,0.0584297850728035,-1.127497911453247,0.07620342075824738,-0.3195659816265106,0.023403635248541832
9,numpyro,adam_100_mc,9,single_MC/radon_example/pymc_tutorial/results/numpyro_final_restarts.csv,1,-1062.5712890625,-1062.5712890625,False,1.493053674697876,0.03484763577580452,-0.663934051990509,0.05872179567813873,-1.127687692642212,0.07768218964338303,-0.31978166103363037,0.023300854489207268
10,tfp,adam_100_mc,0,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.577392578125,-1062.577392578125,False,1.4929418563842773,0.03503105789422989,-0.6653568744659424,0.05862979590892792,-1.1275432109832764,0.07714046537876129,-0.3199210464954376,0.02325146272778511
11,tfp,adam_100_mc,1,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.577880859375,-1062.577880859375,False,1.4914414882659912,0.03501726686954498,-0.662520170211792,0.05933540314435959,-1.1294591426849365,0.0773991048336029,-0.320220947265625,0.023388037458062172
12,tfp,adam_100_mc,2,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.5810546875,-1062.5810546875,False,1.4954365491867065,0.035164911299943924,-0.6638618111610413,0.05828022584319115,-1.126580834388733,0.077177494764328,-0.3195313513278961,0.023155005648732185
13,tfp,adam_100_mc,3,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.58544921875,-1062.58544921875,False,1.4903333187103271,0.034956395626068115,-0.6629122495651245,0.0584154948592186,-1.124812126159668,0.07729379832744598,-0.3211372196674347,0.023156538605690002
14,tfp,adam_100_mc,4,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.5848388671875,-1062.5848388671875,False,1.4940762519836426,0.03501897305250168,-0.6625194549560547,0.0589897595345974,-1.129995346069336,0.07666900008916855,-0.3225831985473633,0.023083098232746124
15,tfp,adam_100_mc,5,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.581787109375,-1062.581787109375,False,1.4941819906234741,0.03487488627433777,-0.6648702025413513,0.05863391235470772,-1.1257984638214111,0.07652352750301361,-0.3207361102104187,0.02331896312534809
16,tfp,adam_100_mc,6,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.577880859375,-1062.577880859375,False,1.4938669204711914,0.034954413771629333,-0.6643669605255127,0.058542400598526,-1.1301766633987427,0.07671462744474411,-0.3192671239376068,0.02337208017706871
17,tfp,adam_100_mc,7,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.5772705078125,-1062.5772705078125,False,1.4944019317626953,0.03480282425880432,-0.6656270623207092,0.058733418583869934,-1.1279850006103516,0.07708347588777542,-0.32100963592529297,0.02328941784799099
18,tfp,adam_100_mc,8,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.576416015625,-1062.576416015625,False,1.4940531253814697,0.035129230469465256,-0.6644039750099182,0.05863639712333679,-1.1297118663787842,0.07604016363620758,-0.3199274241924286,0.023181641474366188
19,tfp,adam_100_mc,9,single_MC/radon_example/pymc_tutorial/results/tfp_final_restarts.csv,1,-1062.57861328125,-1062.57861328125,False,1.4943609237670898,0.03507562726736069,-0.6651841998100281,0.0581626296043396,-1.1272741556167603,0.07784447073936462,-0.3189634680747986,0.02329966612160206
