# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:48:57 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 10000 (Default)
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp24rl7p3e/7rtpxpua.json
# init = 2 (Default)
# random
#   seed = 12
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/1dgaussian-20260528174857.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp_approx__,lp__,path__,mu
0.43105938, -146.90615, 1, 3.1975268
1.3670088, -145.9702, 1, 3.041234
1.2185265, -146.11869, 1, 3.1169744
1.3546688, -145.98254, 1, 3.0835956
0.73407762, -146.60313, 1, 3.1734805
1.2420392, -146.09517, 1, 3.1127267
-0.59901355, -147.93623, 1, 3.2586257
0.23372123, -147.10349, 1, 3.2111504
0.95434713, -146.38286, 1, 2.9668407
1.3274607, -146.00975, 1, 3.0259669
1.0426617, -146.29455, 1, 3.1420854
1.0426617, -146.29455, 1, 3.1420854
1.1324941, -146.20472, 1, 2.9886251
0.047484546, -147.28973, 1, 2.8960347
1.3252281, -146.01198, 1, 3.0253077
1.150884, -146.18633, 1, 2.9912687
1.2802558, -146.05696, 1, 3.104984
-0.027521964, -147.36473, 1, 3.2274948
1.0160488, -146.32116, 1, 2.973757
1.2564922, -146.08072, 1, 3.0090656
1.3397114, -145.9975, 1, 3.0298438
-0.019858248, -147.35707, 1, 3.227038
0.77821318, -146.559, 1, 2.9494636
1.3404139, -145.9968, 1, 3.0300815
0.24109612, -147.09612, 1, 2.9083408
1.3380347, -145.99918, 1, 3.0292838
0.85118689, -146.48603, 1, 3.1626967
1.2435134, -146.0937, 1, 3.112449
1.3197177, -146.01749, 1, 3.0237327
0.50113627, -146.83608, 1, 2.9266509
0.50113627, -146.83608, 1, 2.9266509
-1.5556933, -148.89291, 1, 2.8170522
-1.5556933, -148.89291, 1, 2.8170522
1.3431195, -145.99409, 1, 3.0879882
0.67048059, -146.66673, 1, 2.9400747
0.93307322, -146.40414, 1, 3.1544313
-0.43131636, -147.76853, 1, 2.8689853
0.77625128, -146.56096, 1, 2.9492855
0.77625128, -146.56096, 1, 2.9492855
-2.4714971, -149.80871, 1, 2.7818401
0.92372341, -146.41349, 1, 2.963593
1.3827309, -145.95448, 1, 3.0638965
1.3827309, -145.95448, 1, 3.0638965
-0.011980335, -147.34919, 1, 3.2265672
1.3232235, -146.01399, 1, 3.0247265
1.3443718, -145.99284, 1, 3.0875452
1.3443718, -145.99284, 1, 3.0875452
1.3833423, -145.95387, 1, 3.0621638
