# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:47:06 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 10000 (Default)
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp24rl7p3e/d3wh4mrc.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/1dgaussian-20260528174706.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp_approx__,lp__,path__,mu
-0.57656595, -147.91378, 1, 2.8615088
1.0332472, -146.30396, 1, 3.1432176
0.48965622, -146.84756, 1, 3.1932145
1.1508275, -146.18638, 1, 2.9912605
1.330119, -146.00709, 1, 3.092235
0.40617248, -146.93104, 1, 3.1993181
0.085592103, -147.25162, 1, 2.8983826
1.3015622, -146.03565, 1, 3.1000301
1.1959371, -146.14127, 1, 3.1207786
0.52354807, -146.81366, 1, 2.9283485
1.365891, -145.97132, 1, 3.078372
0.75543366, -146.58178, 1, 2.9474128
1.3836962, -145.95352, 1, 3.0595826
1.30905, -146.02816, 1, 3.0981386
1.2607757, -146.07644, 1, 3.109082
1.1589755, -146.17824, 1, 2.992465
1.2792952, -146.05792, 1, 3.1051947
-0.8202998, -148.15751, 1, 2.8495604
-0.8202998, -148.15751, 1, 2.8495604
0.95538655, -146.38183, 1, 2.9669529
0.95538655, -146.38183, 1, 2.9669529
0.85796062, -146.47925, 1, 3.1620382
0.85796062, -146.47925, 1, 3.1620382
1.3501939, -145.98702, 1, 3.033618
0.9865069, -146.35071, 1, 2.9703786
1.3728143, -145.9644, 1, 3.04475
1.3755809, -145.96163, 1, 3.0722417
1.0128419, -146.32437, 1, 3.1456203
1.2601884, -146.07702, 1, 3.1092003
0.6052517, -146.73196, 1, 3.1842712
1.3693547, -145.96786, 1, 3.0764375
1.3389086, -145.9983, 1, 3.0894298
1.3793692, -145.95784, 1, 3.0688047
1.2666298, -146.07058, 1, 3.107887
1.3592928, -145.97792, 1, 3.0815934
1.1022756, -146.23494, 1, 2.984483
1.1022756, -146.23494, 1, 2.984483
1.2623617, -146.07485, 1, 3.1087611
1.2623617, -146.07485, 1, 3.1087611
0.86174288, -146.47547, 1, 3.1616687
-0.020730345, -147.35794, 1, 3.22709
1.0408013, -146.29641, 1, 2.9766937
1.3288786, -146.00833, 1, 3.0926117
1.3821829, -145.95503, 1, 3.065004
-0.62871063, -147.96592, 1, 3.2601114
1.3002503, -146.03696, 1, 3.0186516
0.096038754, -147.24117, 1, 3.2199719
1.3836871, -145.95352, 1, 3.059066
0.93289213, -146.40432, 1, 2.9645537
1.3130069, -146.02421, 1, 3.0971006
1.3130069, -146.02421, 1, 3.0971006
1.3821068, -145.95511, 1, 3.0538637
0.83758402, -146.49963, 1, 3.1640064
1.371362, -145.96585, 1, 3.0437965
0.25265665, -147.08456, 1, 3.2098967
0.25265665, -147.08456, 1, 3.2098967
1.3787796, -145.95843, 1, 3.0495859
1.362413, -145.9748, 1, 3.0801328
1.1904118, -146.1468, 1, 2.9973305
1.194498, -146.14271, 1, 2.9979912
1.2119674, -146.12524, 1, 3.0008997
1.1477258, -146.18949, 1, 2.9908075
0.29850302, -147.03871, 1, 3.206817
1.3757962, -145.96142, 1, 3.0469326
1.3832189, -145.95399, 1, 3.0625927
1.3832189, -145.95399, 1, 3.0625927
1.2197401, -146.11747, 1, 3.0022412
1.2487159, -146.0885, 1, 3.1114573
1.1542693, -146.18294, 1, 3.1272375
1.3749552, -145.96226, 1, 3.0727236
1.2948765, -146.04234, 1, 3.0173568
-1.2178649, -148.55508, 1, 2.8314099
0.90288814, -146.43432, 1, 3.1575592
-2.6713596, -150.00857, 1, 2.7747337
0.59254868, -146.74466, 1, 3.1852851
0.59254868, -146.74466, 1, 3.1852851
1.3731599, -145.96405, 1, 3.074018
0.80289682, -146.53432, 1, 3.1672742
1.289945, -146.04727, 1, 3.1028015
1.383695, -145.95352, 1, 3.0596792
1.0267568, -146.31046, 1, 3.1439892
0.88914588, -146.44807, 1, 2.9600535
-0.35700735, -147.69422, 1, 3.246078
1.2281229, -146.10909, 1, 3.1152799
0.71152527, -146.62569, 1, 2.9435621
1.3132668, -146.02395, 1, 3.0970314
1.3836433, -145.95357, 1, 3.0584699
1.3718894, -145.96532, 1, 3.0748682
1.3784729, -145.95874, 1, 3.0697228
1.2391403, -146.09807, 1, 3.0057356
0.92214161, -146.41507, 1, 3.1555759
0.92214161, -146.41507, 1, 3.1555759
-6.0132835, -153.3505, 1, 3.444112
-1.3680996, -148.70531, 1, 2.8249164
-1.3680996, -148.70531, 1, 2.8249164
1.1590391, -146.17817, 1, 3.1265297
0.74904262, -146.58817, 1, 2.9468441
1.3416184, -145.99559, 1, 3.0304938
1.0174707, -146.31974, 1, 2.973923
1.2746247, -146.06259, 1, 3.0127985
1.0267941, -146.31042, 1, 3.1439848
1.2962316, -146.04098, 1, 3.0176795
1.3834507, -145.95376, 1, 3.0572848
1.3514191, -145.98579, 1, 3.0340957
0.94967721, -146.38753, 1, 3.152666
1.2525795, -146.08463, 1, 3.1107083
1.3603466, -145.97687, 1, 3.037893
1.2291444, -146.10807, 1, 3.0039077
1.342392, -145.99482, 1, 3.0882424
-0.68064899, -148.01786, 1, 2.8563204
0.81841445, -146.5188, 1, 3.1658247
0.81841445, -146.5188, 1, 3.1658247
-0.66324352, -148.00046, 1, 3.2618253
0.77833781, -146.55887, 1, 3.1695292
0.77833781, -146.55887, 1, 3.1695292
1.3316562, -146.00556, 1, 3.0272421
1.3120912, -146.02512, 1, 3.0216608
0.91757553, -146.41964, 1, 2.9629542
0.91757553, -146.41964, 1, 2.9629542
1.1554531, -146.18176, 1, 3.1270625
1.340123, -145.99709, 1, 3.0299829
1.0428024, -146.29441, 1, 3.1420684
1.0428024, -146.29441, 1, 3.1420684
1.1425037, -146.19471, 1, 3.1289526
0.20483859, -147.13237, 1, 3.2130429
1.3054439, -146.03177, 1, 3.0990608
1.3518959, -145.98532, 1, 3.0847201
-0.68839849, -148.02561, 1, 3.2630647
1.0043762, -146.33284, 1, 2.9724064
1.0043762, -146.33284, 1, 2.9724064
1.3576462, -145.97957, 1, 3.0823265
0.60132966, -146.73588, 1, 3.1845851
-6.4037826, -153.74099, 1, 3.4541336
-0.45623216, -147.79344, 1, 3.251322
1.302763, -146.03445, 1, 3.0192714
1.3370152, -146.0002, 1, 3.0900558
1.3370152, -146.0002, 1, 3.0900558
1.3370152, -146.0002, 1, 3.0900558
1.0943508, -146.24286, 2, 3.13557
1.151758, -146.18545, 2, 3.1276072
1.3474821, -145.98973, 2, 3.0864133
1.2258147, -146.1114, 2, 3.1156921
1.3339567, -146.00326, 2, 3.0910409
-1.1200941, -148.45731, 2, 2.835737
1.2438838, -146.09333, 2, 3.1123791
0.2271387, -147.11007, 2, 2.9074204
1.2480868, -146.08913, 2, 3.1115782
-0.99280861, -148.33002, 2, 3.2775052
0.25859682, -147.07862, 2, 2.9095029
0.31845263, -147.01876, 2, 2.9135475
0.31845263, -147.01876, 2, 2.9135475
1.0985931, -146.23862, 2, 2.9839938
1.0985931, -146.23862, 2, 2.9839938
0.1084045, -147.22881, 2, 3.2191996
1.206107, -146.1311, 2, 2.9999081
1.0642739, -146.27294, 2, 3.1394259
1.3643551, -145.97286, 2, 3.0398351
1.2069799, -146.13023, 2, 3.1189494
1.2307515, -146.10646, 2, 3.1148066
1.2307515, -146.10646, 2, 3.1148066
0.96625215, -146.37096, 2, 2.9681344
0.96625215, -146.37096, 2, 2.9681344
1.3630374, -145.97417, 2, 3.079828
1.3630374, -145.97417, 2, 3.079828
0.26939509, -147.06782, 2, 2.9102245
-3.6684277, -151.00564, 2, 2.7416462
-0.36006654, -147.69728, 2, 3.2462419
1.3174118, -146.0198, 2, 3.0230938
0.64593425, -146.69128, 2, 3.1809672
0.64593425, -146.69128, 2, 3.1809672
0.81844104, -146.51877, 2, 3.1658222
1.3798178, -145.95739, 2, 3.0506949
1.3191082, -146.0181, 2, 3.0235627
1.3208018, -146.01641, 2, 3.0949671
1.3836269, -145.95359, 2, 3.0583215
0.7438091, -146.5934, 2, 3.1726235
1.3651951, -145.97202, 2, 3.0787372
0.90858381, -146.42863, 2, 3.1569767
0.90858381, -146.42863, 2, 3.1569767
-0.10832887, -147.44554, 2, 2.8867666
1.344627, -145.99258, 2, 3.087454
0.72076044, -146.61645, 2, 3.1746428
1.3645472, -145.97266, 2, 3.0790711
1.3686917, -145.96852, 2, 3.0768245
1.2422824, -146.09493, 2, 3.0063231
1.3682393, -145.96897, 2, 3.0419204
1.3370447, -146.00017, 2, 3.0289579
1.3370447, -146.00017, 2, 3.0289579
0.87844841, -146.45876, 2, 2.9589836
1.2283029, -146.10891, 2, 3.1152476
0.41818291, -146.91903, 2, 2.9205476
1.3306986, -146.00651, 2, 3.0269467
1.3306986, -146.00651, 2, 3.0269467
1.3464197, -145.99079, 2, 3.0868052
1.1705332, -146.16668, 2, 2.9942116
1.3666384, -145.97057, 2, 3.0779718
0.92677243, -146.41044, 2, 2.9639114
1.1055129, -146.2317, 2, 2.9849158
1.271112, -146.0661, 2, 3.0120524
0.1892457, -147.14797, 2, 3.2140551
0.85081307, -146.4864, 2, 3.1627329
1.3537736, -145.98344, 2, 3.0839643
1.3310544, -146.00616, 2, 3.0270561
1.1149827, -146.22223, 2, 3.1328079
-0.28241841, -147.61963, 2, 2.8769672
1.2157578, -146.12145, 2, 3.1174541
0.73632639, -146.60089, 2, 3.173283
0.99502178, -146.34219, 2, 2.971339
1.3724711, -145.96474, 2, 3.0445192
1.3779867, -145.95923, 2, 3.0488163
0.67438531, -146.66283, 2, 3.1786021
1.3561957, -145.98102, 2, 3.0360508
1.3561957, -145.98102, 2, 3.0360508
0.53774195, -146.79947, 2, 3.189569
1.0050501, -146.33216, 2, 2.9724838
1.3410787, -145.99613, 2, 3.0303084
0.34154466, -146.99567, 2, 3.203866
-1.4206553, -148.75787, 2, 3.2963172
1.3355518, -146.00166, 2, 3.0905311
1.373692, -145.96352, 2, 3.0453574
1.1517213, -146.18549, 2, 2.9913916
1.3639828, -145.97323, 2, 3.0396467
1.3601044, -145.97711, 2, 3.0377812
1.1323052, -146.20491, 2, 3.1304057
1.1323052, -146.20491, 2, 3.1304057
1.1323052, -146.20491, 2, 3.1304057
0.90713901, -146.43007, 2, 2.9618793
0.95710932, -146.3801, 2, 3.1518649
0.85433607, -146.48288, 2, 2.956613
1.3638508, -145.97336, 2, 3.0794238
0.97190917, -146.3653, 2, 3.1502485
1.2922954, -146.04492, 2, 3.0167488
1.3308554, -146.00636, 2, 3.0269949
1.3308554, -146.00636, 2, 3.0269949
1.2737373, -146.06347, 2, 3.0126089
1.3270993, -146.01011, 2, 3.0931448
0.89664119, -146.44057, 2, 2.96081
1.3086838, -146.02853, 2, 3.0982332
0.81855772, -146.51865, 2, 2.9531929
0.33930386, -146.99791, 2, 3.2040211
0.79052878, -146.54668, 2, 3.1684157
1.3776584, -145.95955, 2, 3.0704907
1.3706478, -145.96656, 2, 3.0433482
1.2087567, -146.12846, 2, 3.1186497
-0.87990914, -148.21712, 2, 2.8467403
1.2514153, -146.0858, 2, 3.1109351
0.72250085, -146.61471, 2, 2.9445125
-0.17149521, -147.50871, 2, 3.235856
1.3818294, -145.95538, 2, 3.0656126
1.2415425, -146.09567, 2, 3.0061842
1.2415425, -146.09567, 2, 3.0061842
-0.11913598, -147.45635, 2, 3.2328619
1.0950055, -146.24221, 2, 3.1354839
1.1357772, -146.20143, 2, 2.9890898
-0.056141241, -147.39335, 2, 3.2291897
-1.0173084, -148.35452, 2, 2.8403781
1.1573518, -146.17986, 2, 3.1267809
0.611226, -146.72599, 2, 2.9352126
1.3649654, -145.97225, 2, 3.0401478
1.383687, -145.95352, 2, 3.0599382
0.36296159, -146.97425, 2, 3.2023749
1.369451, -145.96776, 2, 3.0763806
-0.16423073, -147.50144, 2, 3.2354437
-0.16423073, -147.50144, 2, 3.2354437
1.3452905, -145.99192, 2, 3.0317884
1.0723481, -146.26486, 2, 3.1384093
1.0434642, -146.29375, 2, 2.9770159
-2.3038656, -149.64108, 2, 3.3310603
1.3341687, -146.00304, 2, 3.0909736
1.0259955, -146.31122, 2, 3.1440793
1.2765165, -146.0607, 2, 3.1057988
1.0127929, -146.32442, 2, 3.145626
1.3824007, -145.95481, 2, 3.0645927
1.3810865, -145.95613, 2, 3.0667267
0.79753782, -146.53967, 2, 3.1677703
0.77240847, -146.5648, 2, 2.9489374
0.77240847, -146.5648, 2, 2.9489374
-1.3454429, -148.68265, 2, 2.8258841
1.2881015, -146.04911, 2, 3.015779
0.53161773, -146.80559, 2, 2.9289652
1.2365394, -146.10067, 2, 3.1137501
1.2365394, -146.10067, 2, 3.1137501
1.3140896, -146.02312, 2, 3.0968116
1.197416, -146.1398, 2, 3.1205368
-0.071077012, -147.40829, 2, 2.8889366
1.3801993, -145.95701, 2, 3.067865
1.380595, -145.95662, 2, 3.0673777
1.2984309, -146.03878, 2, 3.0182087
1.3726676, -145.96454, 2, 3.0743532
1.3748494, -145.96236, 2, 3.0728034
0.7459972, -146.59121, 2, 3.17243
0.7459972, -146.59121, 2, 3.17243
0.7459972, -146.59121, 2, 3.17243
0.65735248, -146.67986, 2, 2.9389806
0.65735248, -146.67986, 2, 2.9389806
0.32586706, -147.01134, 2, 2.9140563
1.3678335, -145.96938, 2, 3.077313
1.3189735, -146.01824, 2, 3.0235252
1.0076578, -146.32955, 2, 3.1462201
0.93809193, -146.39912, 2, 3.1539012
-3.3879835, -150.7252, 2, 2.7505942
0.7767255, -146.56049, 2, 3.1696756
1.3821308, -145.95508, 2, 3.0650978
1.3591933, -145.97802, 2, 3.0816384
1.3591933, -145.97802, 2, 3.0816384
1.1602316, -146.17698, 2, 3.1263515
1.3039189, -146.03329, 2, 3.0195597
1.2686649, -146.06855, 2, 3.1074646
1.2545669, -146.08265, 2, 3.0086854
1.2545669, -146.08265, 2, 3.0086854
1.054875, -146.28234, 2, 3.1405932
1.3177203, -146.01949, 2, 3.0958255
1.3771625, -145.96005, 2, 3.0480711
0.82283665, -146.51438, 2, 2.9535961
1.2198358, -146.11738, 2, 3.002258
0.80475685, -146.53246, 2, 3.1671015
1.2336743, -146.10354, 2, 3.0047285
1.3825718, -145.95464, 2, 3.0642446
1.3756769, -145.96153, 2, 3.0721661
1.3616949, -145.97552, 2, 3.080478
1.3616949, -145.97552, 2, 3.080478
0.44492062, -146.89229, 2, 2.9224851
0.36027717, -146.97693, 2, 3.2025627
1.3552825, -145.98193, 2, 3.0356646
-0.13423483, -147.47145, 2, 3.2337306
1.2485911, -146.08862, 2, 3.0075228
-0.020592916, -147.3578, 2, 2.8919223
