source_file,restart_idx,estimated_alpha,best_elbo_np,final_elbo,n_records,method,mc_setting
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,0,,-66.4999771118164,,4000,pymc_adam,1_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,1,,-66.49664306640625,,4000,pymc_adam,1_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,2,,-66.50099182128906,,4000,pymc_adam,1_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,3,,-66.49819946289062,,4000,pymc_adam,1_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,4,,-66.50519561767578,,4000,pymc_adam,1_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,0,,-66.49903869628906,,4000,pymc_adam,100_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,1,,-66.49462127685547,,4000,pymc_adam,100_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,2,,-66.49275970458984,,4000,pymc_adam,100_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,3,,-66.493896484375,,4000,pymc_adam,100_mc
single_MC/logistic_regression/results/pymc_adam_processed_restarts.csv,4,,-66.5019760131836,,4000,pymc_adam,100_mc
